code_uic;libelle_point_d_arret;libelle;libelle_stif_info_voyageurs;libelle_sms_gare;nom_gare;adresse;code_insee_commune;commune;x_lambert_ii_etendu;y_lambert_ii_etendu;coord_gps_wgs84;zone_navigo;gare_non_sncf
87001479;AEROPORT CHARLES DE GAULLE 2 TGV - Roissy;AEROPORT CHARLES DE GAULLE 2 TGV;AEROPORT CDG 2 TGV;Roissy CDG 2;Aéroport Charles-de-Gaulle 2 RER;;93073;Tremblay-en-France;617208;2445134;49.0040985205, 2.57154696503;5;0
87113217;NOISY LE SEC;NOISY LE SEC;GARE DE NOISY LE SEC;Noisy le Sec;Noisy-le-Sec;Rue de la gare 93130 Noisy le sec;93053;Noisy-le-Sec;609055;2433165;48.896702921, 2.45993049229;3;0
87113712;VAL DE FONTENAY;VAL DE FONTENAY;GARE DE VAL DE FONTENAY;Val de Font.;Val de Fontenay;10 avenue du Val de Fontenay 94120 Fontenay-sous-Bois;94033;Fontenay-sous-Bois;611300;2428798;48.8574201112, 2.49041522851;3;0
87113845;LES COQUETIERS (T4);LES COQUETIERS;LES COQUETIERS;;Les Coquetiers;;93077;Bondy;611873;2432679;48.892289456, 2.49832798223;3;0
87116012;GRETZ ARMAINVILLIERS;GRETZ ARMAINVILLIERS;GARE DE GRETZ ARMAINVILLIERS;Gretz;Gretz-Armainvilliers;Avenue de la Liberté 77220 Gretz-Armainvilliers;77215;Gretz-Armainvilliers;628860;2416398;48.7454247254, 2.72874414729;5;0
87116087;MORMANT;MORMANT;GARE DE MORMANT;Mormant;Mormant;Place de la gare 77720 Mormant;77317;Mormant;640790;2401762;48.613224928, 2.88948293637;5;0
87116103;MEAUX;MEAUX;GARE DE MEAUX;Meaux;Meaux;Place de la gare 77100 Meaux;77284;Meaux;639385;2440056;48.9574880158, 2.87398151191;5;0
87116210;TOURNAN;TOURNAN;GARE DE TOURNAN;Tournan;Tournan;1 rue Georges Clémenceau 77220 TOURNAN-EN-BRIE;77470;Tournan-en-Brie;631119;2415717;48.7391987163, 2.7593959944;5;0
87116301;COULOMMIERS;COULOMMIERS;GARE DE COULOMMIERS;;Coulommiers;Place du 8 mai 1945 77120 Coulommiers;77131;Coulommiers;654789;2423522;48.8077692012, 3.08204722637;5;0
87116368;SAINT-SIMEON;SAINT-SIMEON;GARE DE ST SIMEON;;Saint-Siméon;La montagne 77169 Saint-Siméon;77436;Saint-Siméon;664099;2422718;48.7996831102, 3.20860208784;5;0
87116392;LA FERTE GAUCHER;LA FERTE GAUCHER;GARE DE LA FERTE GAUCHER;;La Ferté-Gaucher;;77182;La Ferté-Gaucher;670660;2420906;48.7827110308, 3.29755777978;5;0
87116558;NANTEUIL SAACY;NANTEUIL SAACY;GARE DE NANTEUIL SAACY;Nanteuil S.;Nanteuil-sur-Marne - Saâcy-sur-Marne;Avenue du Général Leclerc 77730 Saâcy-sur-Marne;77397;Saâcy-sur-Marne;664684;2442118;48.9739654548, 3.21952329256;5;0
